,Index Family,Name,BBG Ticker,RIC,Industry,Country,Region,Market,Event,Est. Passive Flows (USDmm),Est. Shares (mm),Total EDT
0,All World,Emirates NBD,EMIRATES UH,ENBD.DU,Financials,United Arab Emirates,EMEA,EM,Addition(AW),332.3,75.4,22.3
1,All World,Sm Investments,SM PM,SM.PS,Consumer Discretionary,Philippines,Asia Pacific,EM,Addition(AW),161.8,9.7,34.3
2,All World,Pharmaessentia,6446 TT,6446.TWO,Health Care,Taiwan,Asia Pacific,EM,Addition(AW),103.0,9.4,4.4
3,All World,Dukhan Bank,DUBK QD,DUBK.QA,Financials,Qatar,EMEA,EM,Addition(AW),81.0,72.8,10.7
4,All World,Mog Digitech Holdings,1942 HK,1942.HK,Consumer Discretionary,China,Asia Pacific,EM,Addition(AW),60.2,5.1,5.9
5,Small Cap,Embracer Group,EMBRACB SS,EMBRACb.ST,Consumer Discretionary,Sweden,EMEA,DM,Addition(SC),53.0,22.1,1.8
6,Small Cap,Grupa Kety,KTY PW,KTY.WA,Basic Materials,Poland,EMEA,DM,Addition(SC),48.9,0.3,18.5
7,Small Cap,Shihlin Elec.& Engr.,1503 TT,1503.TW,Industrials,Taiwan,Asia Pacific,EM,Addition(SC),47.3,9.3,1.1
8,Small Cap,Aerospace Indv.,2634 TT,2634.TW,Industrials,Taiwan,Asia Pacific,EM,Addition(SC),38.1,20.8,0.6
9,Small Cap,Bukalapak Com,BUKA IJ,BUKA.JK,Technology,Indonesia,Asia Pacific,EM,Addition(SC),34.7,"2,254.5",12.6
10,Small Cap,Chongqing Hongjiu Fruit H 'H',6689 HK,6689.HK,Consumer Staples,China,Asia Pacific,EM,Addition(SC),34.3,15.1,8.8
11,Small Cap,Ariston Holding,ARIS IM,ARIS.MI,Industrials,Italy,EMEA,DM,Addition(SC),32.2,3.1,12.4
12,Small Cap,Bumi Resources,BUMI IJ,BUMI.JK,Energy,Indonesia,Asia Pacific,EM,Addition(SC),31.9,"3,691.4",8.1
13,Small Cap,Van Lanschot Kempen,VLK NA,VLAN.AS,Financials,Netherlands,EMEA,DM,Addition(SC),30.1,0.9,7.0
