,Index Family,Name,BBG Ticker,RIC,Industry,Country,Region,Market,Event,Est. Passive Flows (USDmm),Est. Shares (mm),Total EDT
0,All World,ZTO Express (Cayman) (P Chip),2057 HK,2057.HK,Industrials,China,Asia Pacific,EM,Deletion(AW),(455.7),(17.4),>100
1,Small Cap,Union Bank of Taiwan,2838 TT,2838.TW,Financials,Taiwan,Asia Pacific,EM,Deletion(SC),(50.4),(96.8),>100
2,All World,Aboitiz Power,AP PM,AP.PS,Utilities,Philippines,Asia Pacific,EM,Deletion(AW),(41.3),(62.2),44.5
3,Small Cap,Dottikon ES Holding,DESN SW,DESN.S,Basic Materials,Switzerland,EMEA,DM,Deletion(SC),(37.4),(0.1),5.4
4,All World,Westports Holdings,WPRTS MK,WPHB.KL,Industrials,Malaysia,Asia Pacific,EM,Deletion(AW),(31.8),(41.6),15.8
5,Small Cap,ViTrox,VITRO MK,VTRX.KL,Technology,Malaysia,Asia Pacific,EM,Deletion(SC),(27.8),(16.2),54.2
6,Small Cap,Hatsun Agro Product,HTSMF IN,HAPL.BO,Consumer Staples,India,Asia Pacific,EM,Deletion(SC),(27.4),(2.3),61.7
7,Small Cap,Sunway Real Estate Investment Trust,SREIT MK,SUNW.KL,Real Estate,Malaysia,Asia Pacific,EM,Deletion(SC),(26.0),(78.1),64.0
8,Small Cap,Robinsons Retail Holdings,RRHI PM,RRHI.PS,Consumer Discretionary,Philippines,Asia Pacific,EM,Deletion(SC),(24.7),(23.6),10.6
9,Small Cap,Jadwa REIT Saudi Fund,JADWAREI AB,4342.SE,Real Estate,Saudi Arabia,EMEA,EM,Deletion(SC),(24.4),(7.0),71.3
10,Small Cap,Vibhavadi Medical Center,VIBHA TB,VIBHA.BK,Health Care,Thailand,Asia Pacific,EM,Deletion(SC),(23.0),(328.5),>100
11,Small Cap,Genting Plantations BHD,GENP MK,GENP.KL,Consumer Staples,Malaysia,Asia Pacific,EM,Deletion(SC),(20.0),(16.0),85.2
12,Small Cap,Brookfield India Real Estate Trust,BIRET IN,BROF.BO,Real Estate,India,Asia Pacific,EM,Deletion(SC),(19.7),(6.1),59.5
13,Small Cap,Banco Davivienda SA PN,PFDAVVND CB,DVI_p.CN,Financials,Colombia,Americas,EM,Deletion(SC),(19.3),(4.0),>100
14,All World,MNC Studios International,MSIN IJ,MSIN.JK,Consumer Discretionary,Indonesia,Asia Pacific,EM,Deletion(AW),(17.7),(68.0),87.8
15,Small Cap,RL Commercial REIT,RCR PM,RCR.PS,Real Estate,Philippines,Asia Pacific,EM,Deletion(SC),(16.3),(156.7),>100
16,Small Cap,PMB Technology,PMBT MK,PMBT.KL,Industrials,Malaysia,Asia Pacific,EM,Deletion(SC),(15.9),(19.3),86.6
17,Small Cap,Skellerup Holdings,SKL NZ,SKL.NZ,Basic Materials,New Zealand,Asia Pacific,DM,Deletion(SC),(15.7),(5.4),45.6
18,Small Cap,Mega First,MFCB MK,MEGA.KL,Utilities,Malaysia,Asia Pacific,EM,Deletion(SC),(15.2),(22.1),43.7
19,Small Cap,Medicare Group,MCGS QD,MCGS.QA,Health Care,Qatar,EMEA,EM,Deletion(SC),(14.7),(8.7),29.9
20,Small Cap,Medartis AG,MED SW,MEDA.S,Health Care,Switzerland,EMEA,DM,Deletion(SC),(13.2),(0.1),27.5
21,Small Cap,TX Group AG,TXGN SW,TXGN.S,Consumer Discretionary,Switzerland,EMEA,DM,Deletion(SC),(11.5),(0.1),47.8
22,Small Cap,Artis Real Estate Investment Trust,AX-U CN,AX_u.TO,Real Estate,Canada,Americas,DM,Deletion(SC),(10.8),(2.0),2.1
23,Small Cap,KMD Brands,KMD NZ,KMD.NZ,Consumer Discretionary,New Zealand,Asia Pacific,DM,Deletion(SC),(10.5),(17.5),9.6
24,Small Cap,MCB Bank,MCB PA,MCB.PSX,Financials,Pakistan,Asia Pacific,EM,Deletion(SC),(9.7),(20.8),15.9
25,Small Cap,Econocom Group,ECONB BB,ECONB.BR,Technology,Belgium,EMEA,DM,Deletion(SC),(8.9),(3.0),23.1
26,Small Cap,Cashbuild Ltd,CSB SJ,CSBJ.J,Consumer Discretionary,South Africa,EMEA,EM,Deletion(SC),(8.2),(0.9),57.1
27,Small Cap,Adcock Ingram Holdings,AIP SJ,AIPJ.J,Health Care,South Africa,EMEA,EM,Deletion(SC),(8.0),(2.7),7.3
