,Ticker,Name,Country,DM/EM,Sector,Conviction,Pot'l flows  (USDmm),Pot'l  Shares  (mm),EDT,Price as of  previous  Cutoff (18-  Apr),Price as of  run date  (30-Jun),% Change
0,"BLND LN
BLND LN",British Land Co PLC/The,UK,DM,Real Estate,Low,(193.3),(50.2),6.2,391.5,302.8,-22.66%
1,"TKWY NA
TKWY NA",Just Eat Takeaway.com NV,Netherlands,DM,Consumer Discretionary,Low,(182.4),(11.9),5.8,16.3,14.0,-13.67%
2,"TSEM IT
TSEM IT",Tower Semiconductor Ltd,Israel,DM,Information Technology,Low,(149.9),(4.1),22.7,"16,350.0","13,670.0",-16.39%
3,5938 JP5938 JP,Lixil Corp,Japan,DM,Industrials,Low,(143.1),(11.3),6.6,"2,145.0","1,824.0",-14.97%
4,VMS SPVMS SP,Venture Corp Ltd,Singapore,DM,Information Technology,Low,(126.6),(11.7),7.7,17.4,14.7,-15.61%
5,4751 JP4751 JP,CyberAgent Inc,Japan,DM,Communication Services,Low,(123.2),(17.0),4.1,"1,164.0","1,048.0",-9.97%
6,FHN USFHN US,First Horizon Corp,USA,DM,Financials,Low,(118.1),(10.5),0.9,18.4,11.3,-38.58%
7,AA USAA US,Alcoa Corp,USA,DM,Materials,Low,(118.0),(3.5),0.7,42.2,33.9,-19.50%
8,SEE USSEE US,Sealed Air Corp,USA,DM,Materials,Low,(112.6),(2.8),1.9,46.9,40.0,-14.62%
9,UGI USUGI US,UGI Corp,USA,DM,Utilities,Low,(110.2),(4.1),2.0,34.6,27.0,-22.03%
10,5333 JP5333 JP,NGK Insulators Ltd,Japan,DM,Industrials,Low,(109.6),(9.2),8.2,"1,770.0","1,714.0",-3.16%
11,EMBRACB SS,Embracer Group AB,Sweden,DM,Communication Services,Medium,(93.3),(37.4),4.6,46.6,27.0,-42.13%
12,4516 JP4516 JP,Nippon Shinyaku Co Ltd,Japan,DM,Health Care,Low,(84.6),(2.1),5.9,"6,120.0","5,874.0",-4.02%
13,AAP USAAP US,Advance Auto Parts Inc,USA,DM,Consumer Discretionary,High,(81.5),(1.2),0.3,126.7,70.3,-44.49%
14,"NVCR US
NVCR US",Novocure Ltd,USA,DM,Health Care,High,(76.8),(1.9),0.7,63.7,41.5,-34.81%
15,NVEI CNNVEI CN,Nuvei Corp,Canada,DM,Financials,Low,(63.8),(2.2),3.3,56.4,39.1,-30.65%
16,6753 JP6753 JP,Sharp Corp/Japan,Japan,DM,Consumer Discretionary,Medium,(50.0),(9.0),2.0,975.0,803.9,-17.55%
17,GRT SJGRT SJ,Growthpoint Properties Ltd,South Africa,EM,Real Estate,Low,(154.6),(250.4),21.5,"1,269.0","1,166.0",-8.12%
18,MRP SJMRP SJ,Mr Price Group Ltd,South Africa,EM,Consumer Discretionary,Low,(143.1),(18.7),8.6,"14,956.0","14,420.0",-3.58%
19,"BANPU TB
BANPU TB",Banpu PCL,Thailand,EM,Energy,Low,(138.6),(555.4),6.6,9.6,8.9,-7.81%
20,3105 TT3105 TT,Win Semiconductors Corp,Taiwan,EM,Information Technology,Low,(130.4),(24.8),5.2,182.0,164.0,-9.89%
21,TFG SJTFG SJ,Foschini Group Ltd/The,South Africa,EM,Consumer Discretionary,Low,(120.3),(24.2),8.6,"9,381.0","9,402.0",0.22%
22,ACC INACC IN,ACC Ltd,India,EM,Materials,Low,(106.1),(4.8),8.7,"1,760.1","1,813.7",3.05%
23,NIC ABNIC AB,National Industrialization Co,Saudi Arabia,EM,Materials,Low,(95.2),(23.9),8.5,13.2,14.9,12.69%
24,TENERGY GA,Terna Energy SA,Greece,EM,Utilities,Low,(83.9),(3.8),23.7,20.6,20.2,-1.94%
25,"139480 KS
139480 KS",E-MART Inc,Korea,EM,Consumer Staples,Low,(83.1),(1.4),8.3,"100,500.0","76,900.0",-23.48%
26,"SAWAD TB
SAWAD TB",Srisawad Corp PCL,Thailand,EM,Financials,Low,(66.8),(50.1),5.7,57.0,47.3,-17.11%
27,"EGCO TB
EGCO TB",Electricity Generating PCL,Thailand,EM,Utilities,Low,(63.7),(17.3),18.5,163.0,130.5,-19.94%
28,"TOPG MK
TOPG MK",Top Glove Corp Bhd,Malaysia,EM,Health Care,Low,(62.4),(359.5),10.0,1.1,0.8,-24.30%
29,"020150 KS
020150 KS",Lotte Energy Materials Corp,Korea,EM,Information Technology,Low,(61.6),(1.7),6.8,"66,900.0","48,200.0",-27.95%
30,"001040 KS
001040 KS",CJ Corp,Korea,EM,Industrials,Low,(55.2),(1.1),8.0,"114,900.0","68,300.0",-40.56%
31,2128 HK2128 HK,China Lesso Group Holdings Ltd,China,EM,Industrials,Low,(52.0),(79.3),14.8,7.1,5.1,-27.81%
32,3347 HK3347 HK,Hangzhou Tigermed Consulting C,China,EM,Health Care,Low,(51.2),(9.0),6.3,77.7,44.7,-42.54%
33,1385 HK1385 HK,Shanghai Fudan Microelectronic,China,EM,Information Technology,Low,(51.0),(20.8),6.5,27.4,19.3,-29.71%
34,2869 HK2869 HK,Greentown Service Group Co Ltd,China,EM,Real Estate,Low,(50.8),(106.2),17.6,5.2,3.8,-27.61%
35,"900932 CH
900932 CH",Shanghai Lujiazui Finance & Tr,China,EM,Real Estate,Low,(50.0),(80.4),109.4,0.8,0.6,-18.59%
36,CBG TBCBG TB,Carabao Group PCL,Thailand,EM,Consumer Staples,Medium,(47.2),(25.6),4.1,85.8,65.5,-23.62%
37,3759 HK3759 HK,Pharmaron Beijing Co Ltd,China,EM,Health Care,Medium,(45.3),(14.7),5.1,37.6,24.2,-35.55%
