,Ticker,Name,Country,DM/EM,Sector,Conviction,Pot'l flows  (USDmm),Pot'l  Shares  (mm),EDT,Price as of  previous  Cutoff (18-  Apr),Price as of  run date  (16-Jun),% Change
0,POWF IN,Melrose Industries PLC,UK,DM,Industrials,High,501.8,76.9,7.2,350.3,508.8,45.3%
1,"BESI NA
SCI SP",BE Semiconductor Industries NV,Netherlands,DM,Information Technology,High,476.0,4.4,2.7,78.4,99.2,26.4%
2,3808 HK,Allkem Ltd,Australia,DM,Materials,High,277.4,25.4,6.8,12.1,15.9,31.7%
3,MRO LN,Jabil Inc,USA,DM,Information Technology,High,272.4,2.6,2.2,84.2,105.4,25.2%
4,SRPT US,Stantec Inc,Canada,DM,Industrials,High,243.9,3.8,8.9,79.4,84.2,6.0%
5,IDFCFB IN,Penumbra Inc,USA,DM,Health Care,High,238.5,0.7,2.3,271.5,337.4,24.2%
6,STN CN,Sarepta Therapeutics Inc,USA,DM,Health Care,High,190.1,1.5,1.3,125.6,130.4,3.9%
7,TTB TB,Sembcorp Industries Ltd,Singapore,DM,Utilities,High,175.4,41.2,7.3,4.3,5.7,33.9%
8,CFLT US,Lotus Bakeries NV,Belgium,DM,Consumer Staples,Low,172.5,0.0,16.6,"6,200.0","6,790.0",9.5%
9,AKE AU,Zensho Holdings Co Ltd,Japan,DM,Consumer Discretionary,High,164.2,3.7,5.3,"4,225.0","6,354.0",50.4%
10,ASTRA IN,Confluent Inc,USA,DM,Information Technology,Medium,107.5,3.1,0.6,24.7,34.7,40.4%
11,086520 KS,Global-e Online Ltd,Israel,DM,Consumer Discretionary,High,103.5,2.7,1.4,30.0,38.1,27.1%
12,086520 KS,Ecopro Co Ltd,Korea,EM,Materials,High,821.1,1.4,1.5,"656,000.0","740,000.0",12.8%
13,2376 TT,Gigabyte Technology Co Ltd,Taiwan,EM,Information Technology,High,306.7,37.0,1.3,135.5,254.5,87.8%
14,IDFCFB IN,IDFC First Bank Ltd,India,EM,Financials,High,235.3,236.0,6.1,56.5,81.7,44.6%
15,035900 KS,JYP Entertainment Corp,Korea,EM,Communication Services,High,220.8,2.1,4.2,"87,800.0","136,000.0",54.9%
16,ASTRA IN,Astral Ltd,India,EM,Industrials,High,210.4,8.8,14.7,"1,450.8","1,960.2",35.1%
17,POWF IN,Power Finance Corp Ltd,India,EM,Financials,Medium,184.9,76.8,7.5,161.8,197.1,21.9%
18,3808 HK,Sinotruk Hong Kong Ltd,China,EM,Industrials,Low,90.1,50.2,12.3,11.9,14.0,17.8%
19,TTB TB,TMBThanachart Bank PCL,Thailand,EM,Financials,Low,82.3,"1,760.6",3.8,1.4,1.6,14.1%
